group,trial_id,timepoint,before,after,difference
random,D2MS,8498.0,0.4666666666666667,1.0,-0.5333333333333333
random,D11MS,3598.0,1.0,1.0,0.0
random,D6MD,2196.0,0.6,0.4666666666666667,0.1333333333333333
random,D4MS,6050.0,1.0,1.0,0.0
random,D6MS,6718.0,1.0,1.0,0.0
random,D6MS,6875.0,1.0,1.0,0.0
random,D4MS,5806.0,1.0,0.36666666666666664,0.6333333333333333
random,D4MD,6644.0,1.0,1.0,0.0
random,D10MD,7391.0,0.16666666666666666,0.1,0.06666666666666665
random,D2MD,5801.0,1.0,1.0,0.0
random,D2MS,2107.0,1.0,1.0,0.0
random,D4MS,1665.0,0.9,1.0,-0.09999999999999998
random,D2MS,7614.0,1.0,0.13333333333333333,0.8666666666666667
random,D2MD,7979.0,1.0,1.0,0.0
random,D11MS,3060.0,1.0,1.0,0.0
random,D4MD,6679.0,1.0,0.8,0.19999999999999996
random,D6MS,6929.0,1.0,1.0,0.0
random,D2MS,1977.0,1.0,1.0,0.0
random,D2MS,1308.0,1.0,0.43333333333333335,0.5666666666666667
random,D1MS,7039.0,0.9333333333333333,0.8666666666666667,0.06666666666666665
random,D10MS,8534.0,1.0,1.0,0.0
random,D10MS,8836.0,1.0,1.0,0.0
random,D10MS,5531.0,1.0,1.0,0.0
random,D2MS,3216.0,1.0,1.0,0.0
random,D2MS,3239.0,1.0,1.0,0.0
random,D4MS,8272.0,1.0,1.0,0.0
random,D6MS,4676.0,1.0,1.0,0.0
random,D6MS,4649.0,1.0,1.0,0.0
random,D6MS,6615.0,1.0,1.0,0.0
random,D4MD,6574.0,0.6,1.0,-0.4
random,D5MS,2179.0,1.0,0.1,0.9
random,D10MS,8287.0,0.7333333333333333,1.0,-0.2666666666666667
random,D10MS,2341.0,0.06666666666666667,0.6666666666666666,-0.6
random,D4MD,8031.0,0.5666666666666667,1.0,-0.43333333333333335
random,D7MS,6787.0,1.0,0.9333333333333333,0.06666666666666665
random,D11MS,3952.0,0.9333333333333333,1.0,-0.06666666666666665
random,D4MD,6412.0,0.7333333333333333,1.0,-0.2666666666666667
random,D10MS,5924.0,1.0,1.0,0.0
random,D11MS,8495.0,1.0,0.23333333333333334,0.7666666666666666
random,D9MD,6324.0,0.4,0.8666666666666667,-0.4666666666666667
random,D2MS,2823.0,1.0,1.0,0.0
random,D10MS,7433.0,1.0,1.0,0.0
random,D11MS,5079.0,1.0,1.0,0.0
random,D1MS,8747.0,0.3333333333333333,1.0,-0.6666666666666667
random,D10MD,3360.0,0.36666666666666664,0.5666666666666667,-0.2
random,D4MD,6569.0,0.6,1.0,-0.4
random,D11MS,5213.0,1.0,1.0,0.0
random,D3MS,4103.0,1.0,1.0,0.0
random,D10MS,6748.0,1.0,1.0,0.0
random,D2MD,5510.0,1.0,0.6666666666666666,0.33333333333333337
random,D10MS,3973.0,1.0,0.26666666666666666,0.7333333333333334
random,D10MS,5361.0,1.0,1.0,0.0
random,D11MS,5030.0,1.0,1.0,0.0
random,D11MS,2631.0,1.0,1.0,0.0
random,D7MS,2337.0,0.6,0.03333333333333333,0.5666666666666667
random,D2MS,721.0,0.5,1.0,-0.5
random,D11MD,6997.0,1.0,0.3333333333333333,0.6666666666666667
random,D5MS,2124.0,0.13333333333333333,1.0,-0.8666666666666667
random,D3MD,3700.0,0.03333333333333333,0.4,-0.3666666666666667
random,D10MS,6342.0,1.0,1.0,0.0
random,D2MS,2682.0,1.0,1.0,0.0
random,D10MS,2015.0,1.0,1.0,0.0
random,D2MD,7453.0,1.0,0.9,0.09999999999999998
random,D11MS,5271.0,1.0,1.0,0.0
random,D2MS,1992.0,1.0,1.0,0.0
random,D6MS,3730.0,1.0,1.0,0.0
random,D11MS,3832.0,1.0,0.03333333333333333,0.9666666666666667
random,D6MD,5838.0,0.3333333333333333,0.3,0.033333333333333326
random,D2MD,5419.0,1.0,1.0,0.0
random,D6MS,2433.0,1.0,0.03333333333333333,0.9666666666666667
random,D6MS,5524.0,0.9333333333333333,1.0,-0.06666666666666665
random,D11MS,5069.0,1.0,1.0,0.0
random,D4MS,5739.0,1.0,1.0,0.0
random,D7MS,3959.0,1.0,0.7666666666666667,0.23333333333333328
random,D3MS,8063.0,0.43333333333333335,0.13333333333333333,0.30000000000000004
random,D10MS,5903.0,1.0,1.0,0.0
random,D6MD,2567.0,0.8666666666666667,1.0,-0.1333333333333333
random,D10MS,7081.0,1.0,1.0,0.0
random,D10MS,5431.0,0.6,1.0,-0.4
random,D2MS,2817.0,1.0,1.0,0.0
random,D10MS,6768.0,1.0,1.0,0.0
random,D2MS,2840.0,1.0,0.5333333333333333,0.4666666666666667
random,D2MD,8031.0,1.0,1.0,0.0
random,D2MS,7611.0,1.0,0.23333333333333334,0.7666666666666666
random,D3MS,7535.0,0.9666666666666667,0.0,0.9666666666666667
random,D4MD,7810.0,1.0,1.0,0.0
random,D3MS,7981.0,0.23333333333333334,1.0,-0.7666666666666666
random,D10MS,7129.0,1.0,1.0,0.0
random,D2MS,3358.0,1.0,1.0,0.0
random,D9MD,6323.0,0.36666666666666664,0.9,-0.5333333333333334
random,D10MS,3004.0,1.0,0.36666666666666664,0.6333333333333333
random,D2MS,5902.0,0.1,1.0,-0.9
random,D11MS,6373.0,0.6,1.0,-0.4
random,D6MS,2413.0,1.0,0.7,0.30000000000000004
random,D3MD,7874.0,0.26666666666666666,0.6666666666666666,-0.39999999999999997
random,D4MS,676.0,1.0,1.0,0.0
